-498.000000 -264.000000 -552.000000, -379.000000 -450.000000 646.000000, 346.000000 77.000000 -381.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, -20.000000 -23.000000 34.000000, 0.000000 0.000000 0.000000, -6.000000 -7.000000 9.000000, 
-450.000000 -199.000000 -637.000000, -440.000000 -466.000000 491.000000, 345.000000 75.000000 -388.000000, -537.000000 -301.000000 -535.000000, 
-439.000000 -185.000000 -638.000000, -423.000000 -490.000000 669.000000, 344.000000 76.000000 -377.000000, -547.000000 -327.000000 -506.000000, 
-448.000000 -184.000000 -632.000000, -423.000000 -491.000000 671.000000, 344.000000 75.000000 -377.000000, -546.000000 -334.000000 -501.000000, 
-459.000000 -181.000000 -627.000000, -423.000000 -491.000000 671.000000, 344.000000 75.000000 -377.000000, -540.000000 -344.000000 -499.000000, 
-469.000000 -175.000000 -624.000000, -423.000000 -491.000000 671.000000, 344.000000 75.000000 -377.000000, -533.000000 -352.000000 -500.000000, 
-480.000000 -167.000000 -616.000000, -423.000000 -491.000000 671.000000, 344.000000 75.000000 -377.000000, -523.000000 -362.000000 -505.000000, 
-494.000000 -156.000000 -603.000000, -423.000000 -491.000000 671.000000, 344.000000 75.000000 -377.000000, -512.000000 -376.000000 -518.000000, 
-506.000000 -148.000000 -589.000000, -423.000000 -491.000000 671.000000, 344.000000 75.000000 -377.000000, -501.000000 -385.000000 -531.000000, 
-512.000000 -143.000000 -578.000000, -423.000000 -491.000000 671.000000, 344.000000 75.000000 -377.000000, -495.000000 -387.000000 -542.000000, 
-515.000000 -139.000000 -570.000000, -423.000000 -491.000000 671.000000, 344.000000 75.000000 -377.000000, -493.000000 -386.000000 -549.000000, 
-517.000000 -137.000000 -564.000000, -423.000000 -491.000000 671.000000, 344.000000 75.000000 -377.000000, -491.000000 -386.000000 -555.000000, 
-517.000000 -137.000000 -561.000000, -423.000000 -491.000000 671.000000, 344.000000 75.000000 -377.000000, -491.000000 -386.000000 -558.000000, 
-517.000000 -137.000000 -560.000000, -423.000000 -491.000000 671.000000, 344.000000 75.000000 -377.000000, -491.000000 -386.000000 -559.000000, 
-517.000000 -137.000000 -559.000000, -423.000000 -491.000000 671.000000, 344.000000 75.000000 -377.000000, -491.000000 -386.000000 -559.000000, 
-517.000000 -137.000000 -559.000000, -423.000000 -491.000000 671.000000, 344.000000 75.000000 -377.000000, -492.000000 -386.000000 -560.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000044 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000011 0.000000, 0.000000 0.000001 0.000000, 0.000000 0.000003 0.000000, 0.000000 0.000003 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000177, 
0.000000 0.000000 0.000011, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000003, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000001, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000042, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000003, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000011, 
0.000000 0.000000 0.000011, 0.000000 0.000000 0.000003, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000003, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000002, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000001, 0.000000 0.000000 0.000011, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
