262.000000 -579.000000 -268.000000, -289.000000 -129.000000 -138.000000, -316.000000 -117.000000 -385.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, -96.000000 -43.000000 -46.000000, 0.000000 0.000000 0.000000, -245.000000 128.000000 -96.000000, 
0.000000 0.000000 0.000000, 8.000000 -390.000000 -343.000000, 364.000000 -548.000000 -231.000000, -583.000000 220.000000 -200.000000, 
-316.000000 -59.000000 9.000000, -147.000000 -227.000000 -421.000000, 288.000000 -596.000000 -262.000000, -620.000000 259.000000 -183.000000, 
-582.000000 -14.000000 224.000000, -198.000000 -163.000000 -426.000000, 268.000000 -585.000000 -270.000000, -657.000000 447.000000 -421.000000, 
-606.000000 8.000000 216.000000, -199.000000 -162.000000 -425.000000, 268.000000 -585.000000 -270.000000, -649.000000 511.000000 -529.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000176 0.000000, 0.000000 0.000170 0.000000, 0.000000 0.000043 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000043 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000003 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000042 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000001 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000003, 0.000000 0.000000 0.000000, 
0.000000 0.000153 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000042 0.000000, 0.000000 0.000173 0.000000, 0.000000 0.000003 0.000000, 0.000000 0.000003 0.000000, 
0.000000 0.000001 0.000000, 0.000000 0.000042 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
